id_pilar,coord_x,coord_y,coord_z,pillar_area,geom_sing,geol_units_count,soft_veins_freq,traction_resist,strain_modulus,main_faults_count,xy_shear_strain,xz_shear_strain,yz_shear_strain,z_axis_pm_stress,z_axis_tz_stress,tz_exposure,seismic_density,extraction_rate,avg_drawpoint_height,collapse_flag
1,79.91044240077804,1115.6963462934536,1263,286.5643,0,1,1.979,0.2285,14.692,1,8.659436530120482e-05,1.4236479487951806e-05,0.00011958855240963855,11.126392,43.23679879458469,24.0,115.04740568508052,122.685,264,0
2,93.76807338397674,1147.4466672288945,1263,286.5643,0,4,3.07,0.184,13.13,1,0.00010423472918124564,3.723031070678797e-05,8.64735955213436e-05,9.646313,38.197457942266404,24.0,126.90433706260414,121.178,262,1
3,107.6257043671755,1179.1969881643354,1263,286.5643,0,1,3.07,0.184,13.13,1,0.00012639157741935482,0.00010478574193548386,0.0001169936322580645,10.590594,41.89936538971027,24.333333333333332,145.3970001270304,118.942,261,1
4,121.48333535037426,1210.9473090997762,1263,286.5643,0,1,1.75,0.24175000000000002,15.0385,1,0.0001181693129032258,0.00011720357419354838,4.6941503225806454e-05,10.605144,42.21432009688932,25.666666666666668,144.17245184406332,120.012,260,1
5,135.34096633357302,1242.6976300352171,1263,286.5643,0,1,0.67,0.289,16.6,0,7.807525161290322e-05,8.936017741935484e-05,6.71928193548387e-05,10.059537,40.144557544059275,26.0,125.16880385410464,122.787,259,0
6,149.19859731677178,1274.447950970658,1263,286.5643,0,2,1.03,0.27325,16.079500000000003,0,6.453890785868783e-05,9.64518921341024e-05,5.537543260634464e-05,9.66109,38.06857488021581,26.0,106.21489657178142,124.05,259,0
7,163.05622829997048,1306.1982719060989,1263,285.8573,0,1,3.07,0.184,13.13,0,1.59993078313253e-05,0.00011863572506024095,1.3663319262048193e-05,10.25135,40.70913573428722,26.0,95.73137073216753,122.808,260,0
8,176.9138592831692,1337.9485928415397,1263,287.7233,0,1,3.07,0.184,13.13,0,7.353475036144577e-05,0.00018628401951807227,6.401628096385542e-05,12.482539,49.351466674067744,26.0,83.43498403296125,121.286,261,0
9,190.77149026636795,1369.6989137769806,1263,286.9684,0,1,3.07,0.184,13.13,0,8.589853903614457e-05,0.00026541467469879516,0.00025913343855421685,20.386906,79.6816824668511,26.0,66.14341956349529,119.57,262,0
10,204.6291212495667,1401.4492347124215,1263,285.655,0,1,3.07,0.184,13.13,0,3.021638123493976e-05,0.00025403198650602405,0.00026988219710843373,26.811494,105.99789128631275,26.0,56.64518807147494,123.548,264,0
11,88.82216990604434,1103.6159111157838,1263,248.9047,1,1,1.1048,0.25692000000000004,15.753200000000001,1,9.088645024096385e-05,3.4455398012048186e-05,0.00010848110650602409,11.333709,43.89218949126692,24.0,109.52424766324792,123.145,266,0
12,102.67971428670268,1135.3662820512247,1263,286.5643,0,2,3.07,0.184,13.13,1,0.00010407342042654028,2.421829816350711e-05,7.37253568720379e-05,9.738617,39.44452968962292,1.0,121.30497834832906,121.504,264,1
13,116.53725866736102,1167.1166529866657,1263,248.9047,1,2,3.07,0.184,13.13,1,0.00013829513365930598,8.076883974763407e-05,8.3095702681388e-05,9.937101,39.0658108096165,1.3333333333333333,134.8448929126261,118.888,263,1
14,130.39480304801936,1198.8670239221065,1263,286.5643,0,1,1.8699999999999999,0.2365,14.865000000000002,1,0.00014193679354838708,9.345138387096774e-05,7.511443064516128e-05,9.865419,39.61927799225869,2.3333333333333335,140.98696867979314,119.48,262,1
15,144.2523474286777,1230.6173948575474,1263,248.9047,1,2,0.67,0.289,16.6,1,0.00011635627417981073,7.866685333596215e-05,3.959230145307571e-05,8.738072,35.33530174964607,2.6666666666666665,120.65701928172903,123.251,260,0
16,158.10989180933603,1262.3677657929884,1263,286.5643,0,2,1.27,0.26275,15.732500000000002,0,8.306967182156135e-05,9.060912836431228e-05,4.8329929460966543e-05,8.8261,35.696627140827076,2.3333333333333335,103.24301358261272,123.574,260,0
17,171.96743618999437,1294.1181367284291,1263,248.9047,1,1,3.07,0.184,13.13,0,3.3980355e-05,9.194046409638553e-05,3.871243734939759e-05,9.345944,37.910093963591876,2.0,96.88430220938426,123.943,261,0
18,185.8249805706527,1325.86850766387,1263,287.7015,0,1,3.07,0.184,13.13,0,3.84036156626506e-05,0.00013920676240963855,4.144976457831325e-05,11.090267,45.36031113442339,2.0,106.15763967472041,123.237,263,0
19,199.68252495131105,1357.618878599311,1263,248.9047,1,1,3.07,0.184,13.13,0,8.176057096385541e-05,0.0002318487265060241,0.00018833871999999997,15.24379,60.13309532897316,26.0,66.98839800138555,119.939,264,0
20,213.5400693319694,1389.3692495347518,1263,285.7422,0,1,3.07,0.184,13.13,0,3.011182870481927e-05,0.00027617451614457827,0.0002791338539759036,24.334748,95.12785042760675,26.0,56.35147432606985,122.197,264,0
21,227.3976137126278,1421.1196204701928,1263,248.9047,1,1,3.07,0.184,13.13,0,8.982092722891565e-05,0.00023534079277108433,0.0002323431792771084,25.943104,101.69302185159792,25.666666666666668,49.40144664930459,126.022,267,0
